 crsv   extracorrectionfactor
 ----   ---------------------
  66.5  1.13374436
  66.8330002  1.11955726
  67.1669998  1.10658884
  67.5  1.09482837
  67.8330002  1.08415163
  68.1660004  1.0744791
  68.5  1.0657109
  68.8330002  1.05782866
  69.1660004  1.05073726
  69.5  1.04435575
  69.8330002  1.03866267
  70.1660004  1.03358185
  70.5  1.02904809
  70.8330002  1.02503943
  71.1660004  1.02149498
  71.4990005  1.01837206
  71.8330002  1.01562309
  72.1660004  1.01322675
  72.4990005  1.01113999
  72.8330002  1.0093255
  73.1660004  1.00776494
  73.4990005  1.00642467
  73.8330002  1.00527668
  74.1660004  1.00430501
  74.4990005  1.00348496
  74.8320007  1.00279748
  75.1660004  1.00222349
  75.4990005  1.00175095
  75.8320007  1.00136411
  76.1660004  1.00104904
  76.4990005  1.00079715
  76.8320007  1.000597
  77.1660004  1.00043941
  77.4990005  1.00031805
  77.8320007  1.00022554
  78.1660004  1.00015616
  78.4990005  1.00010562
  78.8320007  1.00006914
  79.1650009  1.00004375
  79.4990005  1.00002635
  79.8320007  1.00001526
  80.1650009  1.00000834
  80.4990005  1.00000405
  80.8320007  1.00000191
  81.1650009  1.00000083
  81.4990005  1.00000024
  81.8320007  1.
  82.1650009  1.
  82.4980011  1.
  82.8320007  1.
  83.1650009  1.00034714
  83.4980011  1.00145912
  83.8320007  1.00284362
  84.1650009  1.00440478
  84.4980011  1.00610757
  84.8320007  1.00793433
  85.1650009  1.00985825
  85.4980011  1.01187348
  85.8310013  1.01397097
  86.1650009  1.01615071
  86.4980011  1.01839375
  86.8310013  1.020702
  87.1650009  1.02307832
  87.4980011  1.0255053
  87.8310013  1.02798688
  88.1650009  1.03052795
  88.4980011  1.03311098
  88.8310013  1.03574145
  89.1640015  1.03841734
  89.4980011  1.04114521
  89.8310013  1.04390717
  90.1640015  1.04670978
  90.4980011  1.04956043
  90.8310013  1.05244064
  91.1640015  1.05535793
  91.4980011  1.05832005
  91.8310013  1.06130815
  92.1640015  1.06433046
  92.4970016  1.06738579
  92.8310013  1.07048273
  93.1640015  1.07360208
  93.4970016  1.07675219
  93.8310013  1.07994199
  94.1640015  1.08315182
  94.4970016  1.08639038
  94.8310013  1.08500004
  95.1640015  1.08299994
  95.4970016  1.08099997
  95.8300018  1.08000004
  96.1640015  1.08500004
  96.4970016  1.09000003
  96.8300018  1.09500003
  97.1640015  1.11000001
  97.4970016  1.11677969
  97.8300018  1.12027884
  98.1640015  1.13381219
  98.4970016  1.14735842
  98.8300018  1.16092753
  99.163002  1.14033926
  99.4970016  1.13351083
  99.8300018  1.12681675
  100.163002  1.12023854
  100.497002  1.11375892
  100.830002  1.10741901
  101.163002  1.1012013
  101.497002  1.09509039
  101.830002  1.08912539
  102.163002  1.0832907
  102.496002  1.07758915
  102.830002  1.07200742
  103.163002  1.06658244
  103.496002  1.06130111
  103.830002  1.05615199
  104.163002  1.05117047
  104.496002  1.04634559
  104.830002  1.04166901
  105.163002  1.03717446
  105.496002  1.03285432
  105.829002  1.02871573
  106.163002  1.02475572
  106.496002  1.02100754
  106.829002  1.01747024
  107.163002  1.01414788
  107.496002  1.01107645
  107.829002  1.00826657
  108.163002  1.00573802
  108.496002  1.00354397
  108.829002  1.00173497
  109.162003  1.00042272
  109.496002  1.00000572
  109.829002  1.00003648
  110.162003  1.00010967
  110.496002  1.00022244
  110.829002  1.0003742
  111.162003  1.00056529
  111.496002  1.00079632
  111.829002  1.00106597
  112.162003  1.00137496
  112.495003  1.00172317
  112.829002  1.00211191
  113.162003  1.00253868
  113.495003  1.00300479
  113.829002  1.00351167
  114.162003  1.00405645
  114.495003  1.00464046
  114.829002  1.00526559
  115.162003  1.00592828
  115.495003  1.00663018
  115.828003  1.00737131
  116.162003  1.00815403
  116.495003  1.00897384
  116.828003  1.00983298
  117.162003  1.01073396
  117.495003  1.01167166
  117.828003  1.01264858
  118.162003  1.01366782
  118.495003  1.01472342
  118.828003  1.01581824
  119.161003  1.0169524
  119.495003  1.01812923
  119.828003  1.01934195
  120.161003  1.020594
  120.495003  1.02188909
  120.828003  1.02321982
  121.161003  1.02458966
  121.495003  1.026003
  121.828003  1.02745152
  122.161003  1.02893937
  122.494003  1.03046632
  122.828003  1.03203738
  123.161003  1.03364301
  123.494003  1.03528798
  123.828003  1.03697729
  124.161003  1.03870082
  124.494003  1.04046369
  124.828003  1.04227126
  125.161003  1.04411268
  125.494003  1.04599345
  125.827003  1.02541339
